Row Labels,Sum of Percent with religious exemption
JULIA BUTLER HANSEN ELEMENTARY,0.4
0,0.4
JULIUS A WENDT ELEMENTARY/JOHN C THOMAS MIDDLE SCHOOL,2.8
3,2.8
K-12 ELLENSBURG LEARNING CENTER,0
8,0
K-5 STEM AT BOREN,0
7,0
KAHLOTUS ELEM & HIGH,0
0,0
KALAMA ELEM SCHOOL,1.1
3,1.1
KALAMA JR SR HIGH,0
3,0
KALLES JUNIOR HIGH,0.1
10,0.1
KAMIAK HIGH SCHOOL,0.2
2,0.2
KAMIAKIN HIGH SCHOOL,0.7
4,0.7
KAMIAKIN MIDDLE SCHOOL,0
1,0
KAPKA COOPERATIVE SCHOOL,1.9
7,1.9
KAPOWSIN ELEMENTARY,0.2
8,0.2
KARSHNER ELEMENTARY,0
10,0
KEENE-RIVERVIEW ELEMENTARY,0
4,0
KELLER ELEMENTARY,0
1,0
KELLER ELEMENTARY SCHOOL,0
0,0
KELLOGG MARSH ELEMENTARY SCHOOL,0
2,0
KELLOGG MIDDLE SCHOOL,0.1
7,0.1
KELSO HIGH SCHOOL,0.4
3,0.4
KENDALL ELEMENTARY,1.8
1,1.8
KENMORE ELEMENTARY,0
1,0
KENMORE JUNIOR HIGH,0
1,0
KENNEWICK HIGH SCHOOL,0
4,0
KENNYDALE ELEMENTARY SCHOOL,0.6
9,0.6
KENROY ELEMENTARY,0
8,0
KENT ELEMENTARY SCHOOL,0
9,0
KENT MOUNTAIN VIEW ACADEMY,1.6
9,1.6
KENT PHOENIX ACADEMY,0
8,0
KENT PRAIRIE ELEMENTARY,0.2
2,0.2
KENT-MERIDIAN HIGH SCHOOL,0.1
9,0.1
KENTLAKE HIGH SCHOOL,0.3
8,0.3
KENTRIDGE HIGH SCHOOL,0
9,0
KENTWOOD HIGH SCHOOL,0.4
8,0.4
KESSLER ELEMENTARY SCHOOL,0
3,0
KETTLE FALLS ELEMENTARY SCHOOL,1.4
0,1.4
KETTLE FALLS HIGH SCHOOL,0
0,0
KETTLE FALLS MIDDLE SCHOOL,1.3
0,1.3
KEY PENINSULA MIDDLE SCHOOL,0.2
6,0.2
KILO MIDDLE SCHOOL,0.7
8,0.7
KIMBALL ELEMENTARY SCHOOL,0.5
9,0.5
KING'S WAY CHRISTIAN SCHOOL,0.3
3,0.3
KINGS SCHOOLS,0.3
7,0.3
KINGSPOINT CHRISTIAN SCHOOL,0
4,0
KINGSTON HIGH SCHOOL,0.4
6,0.4
KINGSTON MIDDLE SCHOOL,0.4
6,0.4
KIONA-BENTON CITY HIGH SCHOOL,0
4,0
KIONA-BENTON CITY MIDDLE SCHOOL,0
4,0
KIONA-BENTON CITY PRIMARY SCHOOL,0
4,0
KIONA-BENTON INTERMEDIATE SCHOOL,0
4,0
KIRK ELEMENTARY,0
1,0
KIRKLAND CHILDRENS SCHOOL,0
1,0
KIRKLAND MIDDLE SCHOOL,0
1,0
KIRKLAND SDA SCHOOL,0
1,0
KIRKWOOD ELEMENTARY SCHOOL,0
4,0
KITSAP ADVENTIST CHRISTIAN SCHOOL,0
6,0
KITSAP LAKE ELEMENTARY,0.5
6,0.5
KITTITAS ELEMENTARY SCHOOL,0.7
0,0.7
KITTITAS HIGH SCHOOL,0.8
0,0.8
KLAHOWYA SECONDARY,0.2
0,0.2
KLICKITAT ELEM & HIGH,0
0,0
KNOLLS VISTA ELEMENTARY,0
4,0
KOKANEE ELEMENTARY,0.1
1,0.1
KOMACHIN MIDDLE SCHOOL,0.1
10,0.1
KOPACHUCK MIDDLE SCHOOL,0.4
6,0.4
KULSHAN MIDDLE SCHOOL,0
2,0
L & E ACADEMY,0
1,0
L P BROWN ELEMENTARY,0
10,0
LA CENTER ELEMENTARY,1.4
0,1.4
LA CENTER HIGH SCHOOL,0.4
3,0.4
LA CENTER MIDDLE SCHOOL,1
3,1
LA CONNER ELEMENTARY,0
0,0
LA CONNER HIGH SCHOOL,0
0,0
LA CONNER MIDDLE,0.7
0,0.7
LA SALLE HIGH SCHOOL,0
4,0
LA VENTURE MIDDLE SCHOOL,0.3
1,0.3
LACAMAS HEIGHTS ELEMENTARY,2.5
3,2.5
LACEY ELEMENTARY,0
10,0
LACKAMAS ELEMENTARY,0.6
3,0.6
LACROSSE ELEMENTARY SCHOOL,0
5,0
LACROSSE HIGH SCHOOL,0
0,0
LAFAYETTE ELEMENTARY SCHOOL,0.7
7,0.7
LAKE DOLLOFF ELEMENTARY SCHOOL,0.8
8,0.8
LAKE FOREST PARK ELEMENTARY,0
7,0
LAKE GROVE ELEMENTARY SCHOOL,0
9,0
LAKE HILLS ELEMENTARY,1
9,1
LAKE LOUISE ELEMENTARY SCHOOL,0.3
10,0.3
LAKE QUINAULT ELEMENTARY,1.1
6,1.1
LAKE QUINAULT HIGH SCHOOL,0
6,0
LAKE ROOSEVELT HIGH SCHOOL,0.3
4,0.3
LAKE SHORE ELEMENTARY,0.5
3,0.5
LAKE SPOKANE ELEMENTARY,0.2
5,0.2
LAKE STEVENS MIDDLE SCHOOL,0.5
1,0.5
LAKE STEVENS SR HIGH SCHOOL,0.3
1,0.3
LAKE STICKNEY ELEMENTARY SCHOOL,0.2
2,0.2
LAKE TAPPS ELEMENTARY,0.2
8,0.2
LAKE VIEW ELEMENTARY SCHOOL,0.2
8,0.2
LAKE WASHINGTON GIRLS MIDDLE SCHOOL,0
9,0
LAKE WASHINGTON HIGH,0.5
1,0.5
LAKE WILDERNESS ELEMENTARY,0.1
8,0.1
LAKE YOUNGS ELEMENTARY SCHOOL,0.2
0,0.2
LAKELAND ELEMENTARY SCHOOL,0
8,0
LAKELAND HILLS ELEMENTARY,0.4
8,0.4
LAKERIDGE ELEMENTARY SCHOOL,0.2
9,0.2
LAKERIDGE MIDDLE SCHOOL,0.5
8,0.5
LAKES ELEMENTARY SCHOOL,0
10,0
LAKES HIGH SCHOOL,0
10,0
LAKESHORE MONTESSORI SCHOOL,0
3,0
LAKESIDE HIGH SCHOOL,0.2
5,0.2
LAKESIDE MIDDLE SCHOOL,0
5,0
LAKESIDE SCHOOL,0
7,0
LAKEVIEW ELEMENTARY,0.2
1,0.2
LAKEVIEW HOPE ACADEMY,0
10,0
LAKEVIEW TERRACE ELEMENTARY,0
4,0
LAKEWOOD ELEMENTARY SCHOOL,0
0,0
LAKEWOOD HIGH SCHOOL,0.5
0,0.5
LAKEWOOD LUTHERAN SCHOOL,0
10,0
LAKEWOOD MIDDLE SCHOOL,0.4
0,0.4
LAKOTA MIDDLE SCHOOL,2.8
9,2.8
LAMONT MIDDLE SCHOOL,0
0,0
LARCHMONT ELEMENTARY SCHOOL,0
10,0
LARSON HEIGHTS ELEMENTARY,0.9
4,0.9
LAURELHURST ELEMENTARY SCHOOL,0.7
7,0.7
LAURIN MIDDLE SCHOOL,1.6
3,1.6
LAWTON ELEMENTARY SCHOOL,0.2
7,0.2
LEA HILL ELEMENTARY SCHOOL,0.2
8,0.2
LEADERS IN LEARNING,0
1,0
LEGACY HIGH SCHOOL,0
3,0
4,0
LEONARD M JENNINGS ELEMENTARY,0
5,0
LEOTA JUNIOR HIGH,0.1
1,0.1
LES LILAS FRENCH BILINGUAL COMMUNITY SCHOOL,0
0,0
LESCHI ELEMENTARY SCHOOL,0
9,0
LEWIS & CLARK ELEMENTARY SCHOOL,0
4,0
LEWIS & CLARK HIGH SCHOOL,0.5
5,0.5
LEWIS & CLARK MIDDLE SCHOOL,0
4,0
LEWIS AND CLARK ELEMENTARY SCH,0
0,0
LEWIS AND CLARK HIGH SCHOOL,0
3,0
LEWIS COUNTY ADVENTIST SCHOOL,0
3,0
LEWIS RIVER ACADEMY,0
3,0
LIBBY CENTER,0.8
5,0.8
LIBERTY BELL JR SR HIGH,0.4
4,0.4
LIBERTY CHRISTIAN SCHOOL,1.3
4,1.3
5,0
LIBERTY ELEMENTARY,0
2,0
LIBERTY HIGH SCHOOL,0
5,0
LIBERTY JR HIGH AND ELEMENTARY,0.3
5,0.3
LIBERTY LAKE ELEMENTARY,0.1
5,0.1
LIBERTY MIDDLE SCHOOL,1.2
3,0.8
10,0.4
LIBERTY RIDGE ELEMENTARY,0.2
8,0.2
LIBERTY SR HIGH SCHOOL,0
8,0
LICTON SPRINGS K-8 SCHOOL,0.8
7,0.8
LIDGERWOOD ELEMENTARY,0.5
5,0.5
LIFE CHRISTIAN ACADEMY,0.2
6,0.2
LIGHT OF FAITH CHRISTIAN ACADEMY,0
1,0
LIGHTHOUSE CHRISTIAN SCHOOL,0
6,0
LINCOLN ACADEMY,7.1
2,7.1
LINCOLN ELEMENTARY,0.9
6,0.5
8,0.4
LINCOLN ELEMENTARY SCHOOL,1.4
0,0.2
1,0.5
3,0
4,0
10,0.7
LINCOLN HEIGHTS ELEMENTARY,0.6
5,0.6
LINCOLN HIGH SCHOOL,0.5
5,0
6,0.5
LINCOLN HILL HIGH SCHOOL,1.4
2,1.4
LINCOLN MIDDLE SCHOOL,0.2
5,0.2
LIND ELEMENTARY SCHOOL,0
0,0
LIND-RITZVILLE HIGH SCHOOL,0
0,0
4,0
LIND-RITZVILLE MIDDLE SCHOOL,0
4,0
LINDBERGH SENIOR HIGH SCHOOL,0.5
9,0.5
LINWOOD ELEMENTARY,0
5,0
LISTER ELEMENTARY SCHOOL,0
10,0
LITTLE CEDARS ELEMENTARY SCHOOL,0.4
1,0.4
LITTLE MOUNTAIN ELEMENTARY,0
1,0
LITTLE OAK MONTESSORI SCHOOL,0
3,0
LITTLE OAK MONTESSORI SCHOOL--2ND LOCATION,0
3,0
LITTLE STAR MONTESSORI SCHOOL,0
0,0
LITTLEROCK ELEMENTARY SCHOOL,0
0,0
LIVING MONTESSORI ACADEMY,0
9,0
LIVING WISDOM SCHOOL OF SEATTLE,0
2,0
LOCHBURN MIDDLE SCHOOL,0.2
10,0.2
LOCKWOOD ELEMENTARY,0.2
2,0.2
LOGAN ELEMENTARY,0.7
5,0.7
LONG BEACH ELEMENTARY SCHOOL,1
3,1
LONGFELLOW ELEMENTARY,0.4
4,0
5,0.4
LONGVIEW ELEMENTARY,0.4
4,0.4
LOON LAKE ELEMENTARY SCHOOL,0
5,0
LOOWIT HIGH SCHOOL,0
3,0
LOPEZ ELEMENTARY SCHOOL,0
2,0
LOPEZ MIDDLE HIGH SCHOOL,0
2,0
LOWELL ELEMENTARY,0
2,0
LOWELL ELEMENTARY SCHOOL,0.2
2,0
6,0.2
7,0
LOYAL HEIGHTS ELEMENTARY SCHOOL,0
7,0
LUCILLE UMBARGER ELEMENTARY,0.3
2,0.3
LUMMI TRIBAL ELEMENTARY SCHOOL,0
1,0
LUTACAGA ELEMENTARY,0
4,0
LYDIA HAWK ELEMENTARY,0
10,0
LYLE HIGH SCHOOL,0
0,0
LYLE MIDDLE SCHOOL,3.6
0,3.6
LYMAN ELEMENTARY SCHOOL,0
0,0
LYNDEN ACADEMY,2.3
1,2.3
"LYNDEN CHRISTIAN SCHOOL, BELLINGHAM",0
2,0
LYNDEN CHRISTIAN SCHOOLS,0
1,0
LYNDEN HIGH SCHOOL,0.2
1,0.2
LYNDEN MIDDLE SCHOOL,0.3
1,0.3
LYNNDALE ELEMENTARY,0.5
2,0.5
LYNNWOOD ELEMENTARY,0.7
2,0.7
LYNNWOOD HIGH SCHOOL,0.6
2,0.6
LYON ELEMENTARY SCHOOL,0
10,0
MABTON JR SR HIGH SCHOOL,0
0,0
MACHIAS ELEMENTARY,0
1,0
MADISON ELEMENTARY,0.7
1,0.2
2,0
5,0.5
MADISON ELEMENTARY SCHOOL,0.4
10,0.4
MADISON MIDDLE SCHOOL,0.1
7,0.1
MADRONA ELEMENTARY,0
9,0
MADRONA K-8 SCHOOL,0
9,0
MADRONA NONGRADED,0.5
7,0.5
MADRONA SCHOOL,0
6,0
MAKKAH ISLAMIC SCHOOL,0
9,0
MALTBY ELEMENTARY,0.2
1,0.2
MANCHESTER ELEMENTARY SCHOOL,1.1
6,1.1
MANITOU PARK ELEMENTARY SCHOOL,0
6,0
MANN ELEMENTARY,0
1,0
MANN ELEMENTARY SCHOOL,0.6
6,0.6
MANN MIDDLE SCHOOL,0
10,0
MANSFIELD ELEM AND HIGH SCHOOL,1
0,1
MANSON ELEMENTARY,0
0,0
MANSON MIDDLE HIGH SCHOOL,0
0,0
MANSON MIDDLE SCHOOL,0
8,0
MAPLE ELEMENTARY SCHOOL,0
9,0
MAPLE GROVE K-8,0.8
0,0.8
MAPLE HILLS ELEMENTARY,0
8,0
MAPLE LAWN ELEMENTARY,0.6
10,0.6
MAPLEWOOD CENTER,0
7,0
MAPLEWOOD ELEMENTARY,0
10,0
MAPLEWOOD HEIGHTS ELEMENTARY SCHOOL,0
9,0
MARCUS WHITMAN ELEMENTARY,0
4,0
MARCUS WHITMAN JUNIOR HIGH,0.3
6,0.3
MARCUS WHITMAN-COWICHE ELEMENTARY,0
4,0
MARIE CURIE STEM ELEMENTARY,0
4,0
MARINER HIGH SCHOOL,0.2
2,0.2
MARK MORRIS HIGH SCHOOL,0.7
3,0.7
MARK TWAIN ELEMENTARY,0
4,0
MARK TWAIN ELEMENTARY SCHOOL,0
9,0
MARLIN HUTTERITE SCHOOL,0
0,0
MARRION ELEMENTARY SCHOOL,0.2
3,0.2
MARSHALL ELEMENTARY,0
2,0
MARTHA LAKE ELEMENTARY,0.2
2,0.2
MARTIN LUTHER KING ELEMENTARY,0
3,0
MARTIN LUTHER KING JR ELEMENTARY,0
4,0
MARTIN LUTHER KING JR. ELEMENTARY SCHOOL,0
7,0
MARTIN SORTUN ELEMENTARY SCHOOL,0.7
8,0.7
MARVISTA ELEMENTARY,0
7,0
MARY M KNIGHT ELEMENTARY,0
0,0
MARY M KNIGHT HIGH SCHOOL,0
6,0
MARY PURCELL ELEMENTARY SCHOOL,0
2,0
MARY WALKER HIGH SCHOOL,2.2
0,2.2
MARYSVILLE ARTS AND TECHNOLOGY HIGH SCHOOL,0
2,0
MARYSVILLE COOP PROGRAM,0.7
2,0.7
MARYSVILLE MIDDLE SCHOOL,0
2,0
MARYSVILLE MOUNTAIN VIEW HIGH SCHOOL,0
2,0
MASON,0
6,0
MASON COUNTY CHRISTIAN SCHOOL,1.3
6,1.3
MATHEIA SCHOOL,0
7,0
MATTAWA ELEMENTARY,0
0,0
MATTSON MIDDLE SCHOOL,0.5
8,0.5
MAYA ANGELOU ELEMENTARY,0
4,0
MAYFLOWER CHRISTIAN SCHOOL,0
8,0
MAYWOOD HILLS ELEMENTARY,0.1
1,0.1
MAYWOOD MIDDLE SCHOOL,0.1
8,0.1
MC DONALD ELEMENTARY,0
7,0
MCALDER ELEMENTARY - CASCADE CHRISTIAN SCHOOL,2.7
8,2.7
MCAULIFFE ELEMENTARY,0
8,0
MCCARVER ELEMENTARY SCHOOL,0
6,0
MCCLEARY ELEM,0
6,0
MCCLURE ELEMENTARY SCHOOL,0
4,0
MCCLURE MIDDLE SCHOOL,0
7,0
MCDERMOTH ELEMENTARY,0.3
6,0.3
MCDONALD ELEMENTARY SCHOOL,0
5,0
MCFARLAND MIDDLE SCHOOL,0
4,0
MCGILVRA ELEMENTARY SCHOOL,0
7,0
MCKENNA ELEMENTARY,0.4
0,0.4
MCKENNY ELEMENTARY,0.3
10,0.3
MCKINLEY ELEMENTARY SCHOOL,0
4,0
MCKNIGHT MIDDLE SCHOOL,0.4
9,0.4
MCLANE ELEMENTARY SCHOOL,0
10,0
MCLOUGHLIN MIDDLE SCHOOL,0.4
3,0.3
4,0.1
MCMICKEN HEIGHTS ELEMENTARY,0
9,0
MCMURRAY MIDDLE SCHOOL,0.7
7,0.7
MEAD ALTERNATIVE HIGH SCHOOL,0
5,0
MEAD ELEMENTARY,0.3
8,0.3
MEAD SENIOR HIGH SCHOOL,0.1
5,0.1
MEADOW RIDGE ELEMENTARY,0.6
5,0.6
MEADOW RIDGE ELEMENTARY SCHOOL,0.2
8,0.2
MEADOWDALE ELEMENTARY SCHOOL,0
2,0
MEADOWDALE HIGH SCHOOL,0.2
2,0.2
MEADOWDALE MIDDLE SCHOOL,0.4
2,0.4
MEADOWGLADE SDA SCHOOL,0
3,0
MEADOWS ELEMENTARY,0.3
10,0.3
MEDICAL LAKE ALTERNATIVE HIGH SCHOOL,0
0,0
MEDICAL LAKE HIGH SCHOOL,0.2
0,0.2
MEDICAL LAKE MIDDLE SCHOOL,0.3
0,0.3
MEDINA ACADEMY,0.5
1,0.5
MEDINA ELEMENTARY SCHOOL,0
1,0
MEEKER ELEMENTARY,0.2
10,0.2
MEEKER MIDDLE SCHOOL,0.5
8,0.5
9,0
MELVIN G SYRE ELEMENTARY,0
7,0
MERCER ISLAND HIGH SCHOOL,0.1
9,0.1
MERCER MIDDLE SCHOOL,0.3
9,0.3
MEREDITH HILL ELEMENTARY SCHOOL,0.6
8,0.6
MERIDIAN ELEMENTARY SCHOOL,0.2
8,0.2
MERIDIAN HIGH SCHOOL,0.4
1,0.4
MERIDIAN MIDDLE SCHOOL,1.1
1,0.4
9,0.7
MERIDIAN PARK ELEMENTARY SCHOOL,0
7,0
MERIDIAN SCHOOL,0
7,0
MERIWETHER ELEMENTARY SCHOOL,0.3
0,0.3
MESA ELEMENTARY,0
0,0
METHOW VALLEY COMMUNITY SCHOOL,0
4,0
METHOW VALLEY ELEMENTARY,0
4,0
MICHAEL ANDERSON ELEMENTARY,0
0,0
MICHAEL T SIMMONS ELEMENTARY,0.2
10,0.2
MIDDLE COLLEGE HIGH SCHOOL,0
7,0
MIDDLE SCHOOL OPTIONS,3.8
6,3.8
MIDLAND ELEMENTARY,0.2
10,0.2
MIDWAY ELEMENTARY,0.4
5,0.3
9,0.1
MIDWAY ELEMENTARY (MLC/DISCOVER),0.4
4,0.4
MILL A ELEMENTARY SCHOOL,0
3,0
MILL CREEK ELEMENTARY,0.4
0,0.4
MILL CREEK MIDDLE SCHOOL,0
9,0
MILL PLAIN ELEMENTARY SCHOOL,0.2
3,0.2
MILL POND ELEMENTARY SCHOOL,0.4
0,0.4
MILLENNIUM ELEMENTARY SCHOOL,0.2
8,0.2
MILLER JUNIOR HIGH,0.2
6,0.2
MILLWOOD KINDERGARTEN CENTER,0
5,0
MINNEHAHA ELEMENTARY SCHOOL,0.6
3,0.6
MINT VALLEY ELEMENTARY,0
3,0
MINTER CREEK ELEMENTARY,0.3
6,0.3
MIRROR LAKE ELEMENTARY SCHOOL,0
9,0
MISSION CREEK CHRISTIAN EDUCATION CENTER,0
3,0
MISSION VIEW ELEMENTARY SCHOOL,0
8,0
MMSC DAY SCHOOL,0
7,0
MONARCH ACADEMY,0
5,0
MONROE CHRISTIAN SCHOOL,1.1
1,1.1
MONROE ELEMENTARY,0
2,0
MONROE HIGH SCHOOL,0.6
1,0.6
MONROE MONTESSORI SCHOOL,0
1,0
MONTE CRISTO ELEMENTARY,0.2
1,0.2
MONTESANO JR-SR HIGH,0.2
6,0.2
MONTESANO LEARNING ACADEMY,0
0,0
MONTESSORI AT SAMISH WOODS,0
2,0
MONTESSORI CHILDREN'S HOUSE,0
1,0
MONTESSORI CHILDRENS HOUSE OF LONGVIEW,0
3,0
MONTESSORI COUNTRY SCHOOL - CHILDREN'S HOUSE,0
6,0
MONTESSORI COUNTRY SCHOOL - ELEMENTARY CAMPUS,0
6,0
MONTESSORI SCHOOL OF PULLMAN,0
5,0
MONTESSORI SCHOOL OF YAKIMA,0
4,0
MONTESSORI SCHOOLS OF SNOHOMISH CO.,0
2,0
MONTICELLO MIDDLE SCHOOL,0.8
3,0.8
MONTLAKE ELEMENTARY SCHOOL,0
7,0
MONUMENT ELEMENTARY,0.3
4,0.3
MOORLANDS ELEMENTARY,0
1,0
MORAN PRAIRIE ELEMENTARY,0.2
5,0.2
MORGAN MIDDLE SCHOOL,0.3
8,0.3
MORGEN OWINGS ELEMENTARY SCHOOL,0.2
8,0.2
MORNINGSIDE ACADEMY,0
7,0
MORRIS FORD MIDDLE SCHOOL,0.4
10,0.4
MORRIS SCHOTT ELEMENTARY,0
0,0
MORTON ELEMENTARY SCHOOL,0
0,0
MORTON JUNIOR-SENIOR HIGH,0
0,0
MOSES LAKE CHRISTIAN ACADEMY,0
4,0
MOSES LAKE HIGH SCHOOL,0.5
4,0.5
MOSSYROCK ACADEMY,0
0,0
MOSSYROCK ELEMENTARY SCHOOL,0.3
0,0.3
MOSSYROCK JR./SR. HIGH SCHOOL,0.5
0,0.5
MOUNT ADAMS MIDDLE SCHOOL,0
0,0
MOUNT BAKER ACADEMY,0
0,0
MOUNT BAKER JUNIOR HIGH,0.7
1,0.7
MOUNT BAKER MIDDLE SCHOOL,0.1
1,0.1
MOUNT BAKER SENIOR HIGH,0.7
1,0.7
MOUNT ERIE ELEMENTARY,0.2
2,0.2
MOUNT PLEASANT ELEMENTARY SCHOOL,1.6
3,1.6
MOUNT RAINIER HIGH SCHOOL,0.1
9,0.1
MOUNT SI HIGH SCHOOL,0.3
8,0.3
MOUNT VERNON CHRISTIAN SCHOOL,0.7
1,0.7
MOUNT VERNON HIGH SCHOOL,0.3
1,0.3
MOUNT VIEW ELEMENTARY,0
7,0
MOUNTAIN MEADOW ELEMENTARY,0.2
0,0.2
MOUNTAIN VIEW CHRISTIAN SCHOOL,0
3,0
6,0
MOUNTAIN VIEW ELEMENTARY,1
0,0
4,0.7
10,0.3
MOUNTAIN VIEW HIGH SCHOOL,0.3
3,0.3
MOUNTAIN VIEW MIDDLE SCHOOL,0.7
6,0.1
8,0.6
MOUNTAIN WAY ELEMENTARY,0
1,0
MOUNTAINSIDE MIDDLE SCHOOL,0.3
5,0.3
MOUNTAINVIEW ELEMENTARY,0
4,0
MOUNTLAKE TERRACE ELEMENTARY,0
2,0
MOUNTLAKE TERRACE HIGH SCHOOL,0.1
2,0.1
MOXEE ELEMENTARY,0
0,0
MP PATHWAYS OF CHOICE,0.1
2,0.1
MT BAKER MIDDLE SCHOOL,0.4
8,0.4
MT SPOKANE HIGH SCHOOL,0.5
5,0.5
MT TAHOMA,0.1
6,0.1
MT. OLIVE LUTHERAN SCHOOL,0
0,0
MT. PILCHUCK ELEMENTARY SCHOOL,0.7
1,0.7
MT. RAINIER LUTHERAN HIGH SCHOOL,0
10,0
MT. SOLO MIDDLE SCHOOL,0.2
3,0.2
MT. STUART ELEMENTARY,0.2
8,0.2
MT. VIEW ELEMENTARY,0.3
10,0.3
MUIR ELEMENTARY,0
1,0
MUKILTEO ACADEMY,0
2,0
MUKILTEO ELEMENTARY,0.2
2,0.2
MULLAN ROAD ELEMENTARY,0.5
5,0.5
MULLENIX RIDGE ELEMENTARY SCHOOL,0.2
6,0.2
N OMAK ELEMENTARY,0
0,0
N.E. TACOMA ELEMENTARY SCHOOL,0
9,0
NACHES TRAIL ELEMENTARY,0.2
10,0.2
NACHES VALLEY ELEMENTARY SCHOOL,0.4
0,0.4
NACHES VALLEY HIGH SCHOOL,0
0,0
NACHES VALLEY MIDDLE SCHOOL,0.3
0,0.3
NAPAVINE ELEMENTARY,1.2
0,1.2
NAPAVINE JR SR HIGH SCHOOL,0.6
0,0.6
NARROWS VIEW INTERMEDIATE,0.3
10,0.3
NASELLE ELEMENTARY,0
3,0
NASELLE JR SR HIGH SCHOOLS,0
3,0
NATHAN HALE HIGH SCHOOL,0.3
7,0.3
NAUTILUS K-8 SCHOOL,0.2
9,0.2
NAVAL AVENUE ELEMENTARY SCHOOL,0
6,0
NEAH BAY ELEMENTARY SCHOOL,2.2
0,2.2
NEAH BAY JUNIOR/ SENIOR HIGH SCHOOL,1.7
0,1.7
NEELY O BRIEN ELEMENTARY SCHOOL,0.4
9,0.4
NELSEN MIDDLE SCHOOL,0.4
9,0.4
NELSON ELEMENTARY SCHOOL,0.4
8,0.4
NESPELEM ELEMENTARY,0
0,0
NESS ELEMENTARY,0.3
5,0.3
NEW HORIZON SCHOOL,0
9,0
NEW HORIZONS HIGH SCHOOL,0
4,0
NEW LIFE CHRISTIAN SCHOOL,0
4,0
NEW MARKET HIGH SCHOOL,0
0,0
NEW MARKET SKILLS CENTER,0
0,0
NEW START,0
7,0
NEWCASTLE ELEMENTARY SCHOOL,0
9,0
NEWPORT CHILDREN'S SCHOOL,0
9,0
NEWPORT HEIGHTS ELEMENTARY,0
9,0
NEWPORT HIGH SCHOOL,1.4
0,1.4
NEWPORT SENIOR HIGH SCHOOL,0.2
9,0.2
NILE CHRISTIAN SCHOOL/HOPE ACADEMY,0
4,0
NINE MILE FALLS ELEMENTARY,0.7
5,0.7
NISQUALLY MIDDLE SCHOOL,0
10,0
NOB HILL ELEMENTARY SCHOOL,0
4,0
NOOKSACK ELEMENTARY,0.5
1,0.5
NOOKSACK VALLEY HIGH SCHOOL,0.2
1,0.2
NOOKSACK VALLEY MIDDLE SCHOOL,0.3
1,0.3
NORTH BEACH ELEMENTARY SCHOOL,0.3
7,0.3
NORTH BEACH JUNIOR HIGH SCHOOL,0
0,0
NORTH BEACH SENIOR HIGH SCHOOL,0
0,0
NORTH BEND ELEMENTARY SCHOOL,0.2
8,0.2
NORTH BEND MONTESSORI INC,0
8,0
NORTH CENTRAL HIGH SCHOOL,0.5
5,0.5
NORTH COAST MONTESSORI SCHOOL,0
6,0
NORTH COUNTRY CHRISTIAN SCHOOL,0
4,0
NORTH ELEMENTARY,0.7
4,0.7
NORTH HILL ELEMENTARY,0
7,0
NORTH KITSAP HIGH SCHOOL,0.2
6,0.2
NORTH LAKE MIDDLE SCHOOL,0.3
1,0.3
NORTH MASON SENIOR HIGH SCHOOL,0.3
6,0.3
NORTH MIDDLE SCHOOL,0.3
2,0.3
NORTH PINES MIDDLE SCHOOL,0.2
5,0.2
NORTH RIVER SCHOOL,0
3,0
NORTH SEATTLE FRENCH SCHOOL,0
7,0
NORTH STAR ELEMENTARY,0.2
10,0.2
NORTH TAPPS MIDDLE SCHOOL,0.2
8,0.2
NORTH THURSTON HIGH SCHOOL,0.1
10,0.1
NORTH WALL ELEMENTARY,0
5,0
NORTH WHIDBEY CHRISTIAN HIGH,0
2,0
NORTH WHIDBEY KID'S ACADEMY,0
2,0
NORTH WHIDBEY MIDDLE SCHOOL,0
2,0
NORTHERN HEIGHTS ELEMENTARY SCHL,0
2,0
NORTHERN LIGHTS MONTESSORI SCHOOL,0
1,0
NORTHERN LIGHTS MONTESSORI SCHOOL WILLOWS CAMPUS,0
1,0
NORTHGATE ELEMENTARY SCHOOL,0
7,0
NORTHLAKE ELEMENTARY SCHOOL,0
3,0
NORTHLAKE PRESCHOOL/ NORTHLAKE ACADEMY,0
1,0
NORTHPORT ELEMENTARY SCHOOL,0.9
0,0.9
NORTHPORT HIGH SCHOOL,0
0,0
NORTHSHORE CHRISTIAN ACADEMY,0
2,0
NORTHSHORE JUNIOR HIGH,0
1,0
NORTHSHORE NETWORKS,0
1,0
NORTHSHORE PRIMARY CENTER,0
1,0
NORTHSTAR MIDDLE SCHOOL,0
1,0
NORTHWEST ACHIEVE SCHOOL,0
5,0
NORTHWEST CHRISTIAN HIGH SCHOOL,1.8
10,1.8
NORTHWEST CHRISTIAN SCHOOL,0
5,0
10,0
NORTHWEST FREE SCHOOL,0
9,0
NORTHWEST LIBERTY SCHOOL,0
1,0
NORTHWEST MONTESSORI,0
7,0
NORTHWEST SCHOOL,0
7,0
NORTHWEST YESHIVA HIGH SCHOOL,0
9,0
NORTHWOOD ELEMENTARY,0.2
9,0
10,0.2
NORTHWOOD MIDDLE SCHOOL,0.4
5,0.1
8,0.3
NOVA HIGH SCHOOL,0.9
7,0.9
NOVA SCHOOL,0
10,0
NUEVA ESPERANZA LEADERSHIP ACADEMY (FORMERLY FIRST FRUITS ACADEMY 2016),0
5,0
O'DEA HIGH SCHOOL,0.7
9,0.7
OAK GROVE ELEMENTARY SCHOOL,0
10,0
OAK HARBOR CHRISTIAN SCHOOL,0
2,0
